sample	name	habitat	Riv_vs_Gro	Sed_vs_Soil	sampling_date
SRR10070130	SRR10070130-Riverwater	Riverwater	Riverwater		2023-01-01
SRR10070131	SRR10070131-Riverwater	Riverwater	Riverwater		2023-01-03
SRR10070132	SRR10070132-Groundwater	Groundwater	Groundwater		2023-01-05
SRR10070133	SRR10070133-Groundwater	Groundwater	Groundwater		2023-01-07
SRR10070134	SRR10070134-Riverwater	Riverwater	Riverwater		2023-01-09
SRR10070141	SRR10070141-Groundwater	Groundwater	Groundwater		2023-01-11
SRR10070149	SRR10070149-Sediment	Sediment		Sediment	2023-01-13
SRR10070150	SRR10070150-Sediment	Sediment		Sediment	2023-01-15
SRR10070151	SRR10070151-Sediment	Sediment		Sediment	2023-01-17
SRR10102392	SRR10102392-Soil	Soil		Soil	2023-01-19
SRR10102393	SRR10102393-Soil	Soil		Soil	2023-01-21
SRR10102394	SRR10102394-Soil	Soil		Soil	2023-01-23
