individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
ID_1,46.1,13.2,211.0,4500.0
ID_2,50.0,16.3,230.0,5700.0
ID_3,48.7,14.1,210.0,4450.0
ID_4,50.0,15.2,218.0,5700.0
ID_5,47.6,14.5,215.0,5400.0
ID_6,46.5,13.5,210.0,4550.0
ID_7,45.4,14.6,211.0,4800.0
ID_8,46.7,15.3,219.0,5200.0
ID_9,43.3,13.4,209.0,4400.0
ID_10,46.8,15.4,215.0,5150.0
ID_11,40.9,13.7,214.0,4650.0
ID_12,49.0,16.1,216.0,5550.0
ID_13,45.5,13.7,214.0,4650.0
ID_14,48.4,14.6,213.0,5850.0
ID_15,45.8,14.6,210.0,4200.0
ID_16,49.3,15.7,217.0,5850.0
ID_17,42.0,13.5,210.0,4150.0
ID_18,49.2,15.2,221.0,6300.0
ID_19,46.2,14.5,209.0,4800.0
ID_20,48.7,15.1,222.0,5350.0
ID_21,50.2,14.3,218.0,5700.0
ID_22,45.1,14.5,215.0,5000.0
ID_23,46.5,14.5,213.0,4400.0
ID_24,46.3,15.8,215.0,5050.0
ID_25,42.9,13.1,215.0,5000.0
ID_26,46.1,15.1,215.0,5100.0
ID_27,44.5,14.3,216.0,4100.0
ID_28,47.8,15.0,215.0,5650.0
ID_29,48.2,14.3,210.0,4600.0
ID_30,50.0,15.3,220.0,5550.0
ID_31,47.3,15.3,222.0,5250.0
ID_32,42.8,14.2,209.0,4700.0
ID_33,45.1,14.5,207.0,5050.0
ID_34,59.6,17.0,230.0,6050.0
ID_35,49.1,14.8,220.0,5150.0
ID_36,48.4,16.3,220.0,5400.0
ID_37,42.6,13.7,213.0,4950.0
ID_38,44.4,17.3,219.0,5250.0
ID_39,44.0,13.6,208.0,4350.0
ID_40,48.7,15.7,208.0,5350.0
ID_41,42.7,13.7,208.0,3950.0
ID_42,49.6,16.0,225.0,5700.0
ID_43,45.3,13.7,210.0,4300.0
ID_44,49.6,15.0,216.0,4750.0
ID_45,50.5,15.9,222.0,5550.0
ID_46,43.6,13.9,217.0,4900.0
ID_47,45.5,13.9,210.0,4200.0
ID_48,50.5,15.9,225.0,5400.0
ID_49,44.9,13.3,213.0,5100.0
ID_50,45.2,15.8,215.0,5300.0
ID_51,46.6,14.2,210.0,4850.0
ID_52,48.5,14.1,220.0,5300.0
ID_53,45.1,14.4,210.0,4400.0
ID_54,50.1,15.0,225.0,5000.0
ID_55,46.5,14.4,217.0,4900.0
ID_56,45.0,15.4,220.0,5050.0
ID_57,43.8,13.9,208.0,4300.0
ID_58,45.5,15.0,220.0,5000.0
ID_59,43.2,14.5,208.0,4450.0
ID_60,50.4,15.3,224.0,5550.0
ID_61,45.3,13.8,208.0,4200.0
ID_62,46.2,14.9,221.0,5300.0
ID_63,45.7,13.9,214.0,4400.0
ID_64,54.3,15.7,231.0,5650.0
ID_65,45.8,14.2,219.0,4700.0
ID_66,49.8,16.8,230.0,5700.0
ID_67,46.2,14.4,214.0,4650.0
ID_68,49.5,16.2,229.0,5800.0
ID_69,43.5,14.2,220.0,4700.0
ID_70,50.7,15.0,223.0,5550.0
ID_71,47.7,15.0,216.0,4750.0
ID_72,46.4,15.6,221.0,5000.0
ID_73,48.2,15.6,221.0,5100.0
ID_74,46.5,14.8,217.0,5200.0
ID_75,46.4,15.0,216.0,4700.0
ID_76,48.6,16.0,230.0,5800.0
ID_77,47.5,14.2,209.0,4600.0
ID_78,51.1,16.3,220.0,6000.0
ID_79,45.2,13.8,215.0,4750.0
ID_80,45.2,16.4,223.0,5950.0
ID_81,49.1,14.5,212.0,4625.0
ID_82,52.5,15.6,221.0,5450.0
ID_83,47.4,14.6,212.0,4725.0
ID_84,50.0,15.9,224.0,5350.0
ID_85,44.9,13.8,212.0,4750.0
ID_86,50.8,17.3,228.0,5600.0
ID_87,43.4,14.4,218.0,4600.0
ID_88,51.3,14.2,218.0,5300.0
ID_89,47.5,14.0,212.0,4875.0
ID_90,52.1,17.0,230.0,5550.0
ID_91,47.5,15.0,218.0,4950.0
ID_92,52.2,17.1,228.0,5400.0
ID_93,45.5,14.5,212.0,4750.0
ID_94,49.5,16.1,224.0,5650.0
ID_95,44.5,14.7,214.0,4850.0
ID_96,50.8,15.7,226.0,5200.0
ID_97,49.4,15.8,216.0,4925.0
ID_98,46.9,14.6,222.0,4875.0
ID_99,48.4,14.4,203.0,4625.0
ID_100,51.1,16.5,225.0,5250.0
ID_101,48.5,15.0,219.0,4850.0
ID_102,55.9,17.0,228.0,5600.0
ID_103,47.2,15.5,215.0,4975.0
ID_104,49.1,15.0,228.0,5500.0
ID_105,47.3,13.8,216.0,4725.0
ID_106,46.8,16.1,215.0,5500.0
ID_107,41.7,14.7,210.0,4700.0
ID_108,53.4,15.8,219.0,5500.0
ID_109,43.3,14.0,208.0,4575.0
ID_110,48.1,15.1,209.0,5500.0
ID_111,50.5,15.2,216.0,5000.0
ID_112,49.8,15.9,229.0,5950.0
ID_113,43.5,15.2,213.0,4650.0
ID_114,51.5,16.3,230.0,5500.0
ID_115,46.2,14.1,217.0,4375.0
ID_116,55.1,16.0,230.0,5850.0
ID_117,44.5,15.7,217.0,4875.0
ID_118,48.8,16.2,222.0,6000.0
ID_119,47.2,13.7,214.0,4925.0
ID_120,46.8,14.3,215.0,4850.0
ID_121,50.4,15.7,222.0,5750.0
ID_122,45.2,14.8,212.0,5200.0
ID_123,49.9,16.1,213.0,5400.0
